geneSet,NES,FDR,Function,Datatype
GO:0035148,1.214191169750246,0.2838927545451189,GO,FP254CTCdt
GO:2000027,1.2120901660060512,0.28449051192962199,GO,FP254CTCdt
GO:0070542,-1.272525613,0.2860869507363963,GO,FP254CTCdt
GO:2000241,-1.274433729,0.28627706163510913,GO,FP254CTCdt
GO:0050673,1.210275058268048,0.28650628874593614,GO,FP254CTCdt
GO:0032102,-1.272611106,0.28792663652378597,GO,FP254CTCdt
GO:0001659,-1.266102526,0.29225685834629456,GO,FP254CTCdt
GO:0061842,1.2056222906861813,0.2932177800236069,GO,FP254CTCdt
GO:0003014,-1.267714754,0.2932902538853328,GO,FP254CTCdt
GO:0046631,1.204322368641962,0.29396463472818735,GO,FP254CTCdt
GO:0016485,-1.266131976,0.29421299389460304,GO,FP254CTCdt
GO:0036010,1.202110894351909,0.2964167185228178,GO,FP254CTCdt
GO:0014812,1.198980923661155,0.2976641296363148,GO,FP254CTCdt
GO:0060491,1.2005374888775822,0.29777415469072815,GO,FP254CTCdt
GO:0061744,1.1993847580270001,0.29837492284465766,GO,FP254CTCdt
GO:0007517,1.1946403864430557,0.3037760807651882,GO,FP254CTCdt
GO:0050886,-1.257448642,0.3038732224843498,GO,FP254CTCdt
GO:0070741,1.1906320530978094,0.3048961603324028,GO,FP254CTCdt
GO:0008217,-1.258777612,0.3051259403655281,GO,FP254CTCdt
GO:0001819,-1.25760589,0.30557492637848216,GO,FP254CTCdt
GO:0043954,1.1928760617063638,0.3057110984842868,GO,FP254CTCdt
GO:0015695,1.1910162051868065,0.30575559532558927,GO,FP254CTCdt
GO:0002931,1.191586485806891,0.30634889938475635,GO,FP254CTCdt
GO:0018904,-1.254189885,0.30866835087272115,GO,FP254CTCdt
GO:0051703,1.1841440141090205,0.30937801795801606,GO,FP254CTCdt
GO:0032886,1.1844821407849784,0.31029767937682601,GO,FP254CTCdt
GO:0070849,1.1826703247713046,0.3107414468863753,GO,FP254CTCdt
GO:0001763,1.1849405117360388,0.31089165678631936,GO,FP254CTCdt
GO:0033627,1.185208309623286,0.31204580546749805,GO,FP254CTCdt
GO:0048009,1.1856580715721923,0.3128281659922426,GO,FP254CTCdt
GO:0006730,-1.250589918,0.31403119732968565,GO,FP254CTCdt
GO:0023058,1.1800361191750097,0.31433877859308695,GO,FP254CTCdt
GO:0034394,1.1780702066620858,0.31514006005962175,GO,FP254CTCdt
GO:0030856,1.176447664410063,0.31644050047252253,GO,FP254CTCdt
GO:0098727,1.1781173099921101,0.31662928579209498,GO,FP254CTCdt
GO:0018212,-1.248019736,0.31707886034724864,GO,FP254CTCdt
GO:0010657,1.1722883283544079,0.32330035941626206,GO,FP254CTCdt
GO:0043549,-1.242690273,0.3269017625596917,GO,FP254CTCdt
