"ensembl_id","Astrocytes"
"ENSG00000135387",20.81347459
"ENSG00000180881",14.49843419
"ENSG00000213995",10.97218901
"ENSG00000166734",33.73975427
"ENSG00000164305",20.1261743
"ENSG00000165806",12.35039192
"ENSG00000132906",4.889117913
"ENSG00000121691",52.42109996
"ENSG00000078699",16.37510967
"ENSG00000145439",24.06890054
"ENSG00000094916",17.25412081
"ENSG00000100211",13.45228306
"ENSG00000048342",11.59188693
"ENSG00000137944",27.70204812
"ENSG00000164366",3.706397082
"ENSG00000147419",16.03183521
"ENSG00000160050",4.062958313
"ENSG00000164051",5.324936965
"ENSG00000160124",6.311614198
"ENSG00000205476",3.013533982
"ENSG00000119242",9.925796579
"ENSG00000221978",32.2012121
"ENSG00000132141",4.999473694
"ENSG00000079335",21.14362627
"ENSG00000130177",51.25993378
"ENSG00000094880",8.561974702
"ENSG00000105401",31.16259301
"ENSG00000179604",30.10419525
"ENSG00000170558",50.47111978
"ENSG00000101542",120.2050034
"ENSG00000179242",16.01179575
"ENSG00000128536",17.17421304
"ENSG00000101391",11.81058433
"ENSG00000108465",30.72798496
"ENSG00000163624",15.19703616
"ENSG00000138092",2.078575962
"ENSG00000103995",7.268112355
"ENSG00000101639",13.59931307
"ENSG00000135837",24.77163082
"ENSG00000101624",3.145702241
"ENSG00000111860",34.72539656
"ENSG00000100532",24.92299533
"ENSG00000143942",6.848158354
"ENSG00000111642",18.17385141
"ENSG00000124177",16.23986659
"ENSG00000177200",58.03349536
"ENSG00000016391",5.88266741
"ENSG00000133048",62.97062951
"ENSG00000110721",108.8333389
"ENSG00000111666",53.28354451
"ENSG00000101938",49.42629116
"ENSG00000175264",17.75365062
"ENSG00000115526",11.56014271
"ENSG00000147119",16.86189796
"ENSG00000154080",6.557147832
"ENSG00000099622",59.38421767
"ENSG00000166165",358.6125234
"ENSG00000074054",27.04325508
"ENSG00000134873",118.0763673
"ENSG00000157224",7.566890629
"ENSG00000038532",12.24969659
"ENSG00000130779",21.56677586
"ENSG00000102805",11.98800062
"ENSG00000104853",15.71478288
"ENSG00000120885",543.5278412
"ENSG00000164237",4.483656107
"ENSG00000164309",11.74295357
"ENSG00000143786",6.740573848
"ENSG00000117519",111.5688404
"ENSG00000080802",20.19779476
"ENSG00000122756",31.79229296
"ENSG00000106714",7.892968672
"ENSG00000068120",4.791494743
"ENSG00000103051",13.94897459
"ENSG00000168434",10.29540309
"ENSG00000060718",14.97275481
"ENSG00000080573",112.7329717
"ENSG00000144524",8.442068194
"ENSG00000135469",15.27805494
"ENSG00000110871",20.837106
"ENSG00000167186",4.789164408
"ENSG00000088682",20.15634836
"ENSG00000014919",12.54880023
"ENSG00000203667",13.48839245
"ENSG00000109472",602.6312624
"ENSG00000107864",26.67319211
"ENSG00000113742",50.76675475
"ENSG00000214078",31.75032403
"ENSG00000085719",19.30925826
"ENSG00000100884",19.29859581
"ENSG00000104324",41.21148271
"ENSG00000160917",5.705832914
"ENSG00000149532",13.82165989
"ENSG00000110090",14.16353085
"ENSG00000134376",27.32152544
"ENSG00000163703",21.93364441
"ENSG00000184164",6.142988671
"ENSG00000146215",2.94743354
"ENSG00000121005",4.123412179
"ENSG00000099942",15.34787646
"ENSG00000121671",14.73581616
"ENSG00000116791",11.32898787
"ENSG00000062485",19.50149336
"ENSG00000147408",73.79433858
"ENSG00000101266",18.70842948
"ENSG00000114646",30.18763623
"ENSG00000159176",59.55647928
"ENSG00000101439",425.0986772
"ENSG00000175215",16.64100852
"ENSG00000144677",24.77054796
"ENSG00000116761",26.34804046
"ENSG00000134030",9.629515293
"ENSG00000066032",249.6075178
"ENSG00000169862",182.9253516
"ENSG00000064601",20.09489752
"ENSG00000174080",27.82312798
"ENSG00000103811",26.09359684
"ENSG00000085733",31.49526417
"ENSG00000158290",7.18264361
"ENSG00000173681",9.34343174
"ENSG00000103018",25.43599493
"ENSG00000167740",22.64870189
"ENSG00000071967",34.91324309
"ENSG00000179091",26.30472121
"ENSG00000187954",8.605522237
"ENSG00000155016",5.24624169
"ENSG00000145476",23.01729364
"ENSG00000172817",25.4562828
"ENSG00000120306",66.95160114
"ENSG00000100592",26.80724574
"ENSG00000173402",17.46674771
"ENSG00000196730",22.55305846
"ENSG00000115866",53.82633042
"ENSG00000132716",14.19720192
"ENSG00000172992",15.01272568
"ENSG00000197410",7.631223495
"ENSG00000170390",84.74879389
"ENSG00000043093",20.99538663
"ENSG00000109184",32.2665024
"ENSG00000169738",50.00095332
"ENSG00000153904",146.182914
"ENSG00000167986",10.49033644
"ENSG00000100523",12.50568349
"ENSG00000168209",60.43869485
"ENSG00000100201",140.4179856
"ENSG00000111364",5.751274743
"ENSG00000104325",45.95178624
"ENSG00000140995",12.67240323
"ENSG00000119522",19.88178073
"ENSG00000023697",15.17179727
"ENSG00000140543",2.245102833
"ENSG00000204311",15.30881115
"ENSG00000058866",23.90449202
"ENSG00000109016",8.642884538
"ENSG00000181192",11.58745894
"ENSG00000089876",15.36270589
"ENSG00000163214",6.172225152
"ENSG00000211448",63.80770081
"ENSG00000138463",11.75689221
"ENSG00000166938",12.7927241
"ENSG00000050165",85.51643057
"ENSG00000091140",23.49363953
"ENSG00000151208",6.031917956
"ENSG00000178028",6.717547091
"ENSG00000118997",15.31547227
"ENSG00000137094",3.776983363
"ENSG00000128590",24.77633984
"ENSG00000102580",40.21773252
"ENSG00000163879",5.753040097
"ENSG00000116641",44.45541462
"ENSG00000101134",43.56051145
"ENSG00000159147",11.52973867
"ENSG00000205683",12.58799884
"ENSG00000175497",169.390202
"ENSG00000178904",17.05927986
"ENSG00000113657",16.81987571
"ENSG00000157538",5.132706257
"ENSG00000151914",93.4618077
"ENSG00000134769",185.4324598
"ENSG00000135144",12.41434506
"ENSG00000178498",11.65084879
