symbol	globalScore	gwasCredibleSets	geneBurden	eva	genomicsEngland	gene2Phenotype	uniprotLiterature	uniprotVariants	orphanet	clingen	cancerGeneCensus	intogen	evaSomatic	cancerBiomarkers	chembl	crisprScreen	crispr	reactome	europepmc	expressionAtlas	impc	maxClinicalTrialPhase	isInMembrane	isSecreted	hasLigand	hasSmallMoleculeBinder	hasPocket	mouseOrthologMaxIdentityPercentage	hasHighQualityChemicalProbes	geneticConstraint	mouseKoScore	geneEssentiality	hasSafetyEvent	isCancerDriverGene	paralogMaxIdentityPercentage	tissueSpecificity	tissueDistribution
TSPOAP1	0.35917897705342566	0.5849229131168915	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.11798461124359715	No data	No data	No data	0	0	0	0	0	0.1060850000000002	No data	-0.604522890237176	-0.19187701174133848	0	No data	No data	0	0.5	-1
PRDM7	0.3576367861416106	0.5844482157467167	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.076742819715167	No data	No data	No data	0	0	0	0	0	0	No data	0.05868725868725866	-0.11398320323334182	0	No data	No data	0	No data	No data
PRDM9	0.35737557651646956	0.5840201511993447	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.07671071068460876	No data	No data	No data	0	0	1	1	0	0	1	0.13182570325427467	-0.11398320323334182	0	No data	No data	0	0.75	0.5
NOX4	0.3789708463025947	0.5809253496802838	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.8490583211129804	No data	No data	0.5	1	0	1	1	0	0.5328699999999997	No data	0.0897959183673469	-0.880895018160367	0	No data	No data	0	0.75	0
SDK1	0.35232699574312776	0.578487275820005	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.021277577916406734	No data	No data	No data	0	0	0	0	0	0.48712000000000016	No data	-0.33491450634307773	-0.3074028175658705	0	No data	No data	0	0.5	0
SDCCAG8	0.3509162186900488	0.5772305335881881	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0	0	0	0	0	0	No data	-0.21610590182018752	-0.873174866558736	0	No data	No data	No data	-1	-1
TBX5	0.35207431795481947	0.5756483603376998	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.0697431720593332	No data	No data	No data	0	0	0	0	0	0.8069499999999998	No data	-0.9113072255929399	-0.9673622266424095	0	No data	No data	0	0.5	0.5
ATP5F1C	0.35489177406450473	0.5754345482449988	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.10909149293474533	0.11822433318737127	No data	No data	0	0	0	0	0	0.5637599999999999	No data	-0.31362382790954224	No data	0	No data	No data	No data	0.5	-1
EPB41L1	0.34947613254969834	0.574861701237519	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	0	0	0	0	0.7446100000000001	No data	-0.8094870380584667	-0.6769125019025773	0	No data	No data	0	-1	0
USP3	0.35273950324061304	0.5743772666463741	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.11704863159681747	No data	No data	No data	0	0	0	0	0	0.8269249999999999	No data	-0.7339216767788197	No data	0	No data	No data	0	-1	-1
