symbol	gwasCredibleSets
FBXO11	0.490713052182733
BRWD1	0.490551695504619
KLHL42	0.490324136569394
POFUT3	0.490324136569394
CKAP5	0.490265398825126
CAND2	0.490198616800028
FAM20A	0.489918625097403
NDST4	0.48989159341497
ITGB3	0.489740962444631
KCNG1	0.489702299166942
ZC3H14	0.489611311828351
SPRY4	0.489375708612295
ZFTA	0.488885116188089
TENT4B	0.488721476673523
ALPL	0.48812924367395
SAMHD1	0.48749635444423
DRG2	0.487292094935016
ESPNL	0.487124360809036
KIF3B	0.487110518848326
AOPEP	0.487102547038493
TEX51	0.486805379709229
CEP68	0.486703050659376
COLQ	0.486330477256194
FAM186B	0.486043057276225
TWIST2	0.486003850466048
DENND3	0.485617869928147
LIAT1	0.485473725112171
FOXO1	0.485473725112171
POLR2D	0.485365453440443
TMEM255B	0.485312513376054
CUX1	0.484687052423678
MLXIPL	0.484319008457901
CUL2	0.482891329787859
NPBWR1	0.482862305152968
MGMT	0.482584704993293
WWOX	0.482431424302071
ISX	0.482273224641828
SUN3	0.48198337688341
LTN1	0.481896447920734
LRRN2	0.481797959833801
LIPC	0.481747846138353
TP53INP1	0.481323528442256
PARP8	0.481260768557573
OR4A8	0.480565952859653
OR4C46	0.480565952859653
DOCK1	0.480096521967003
IPO9	0.479763409022493
TINAGL1	0.478659748186651
TACC2	0.478548541439484
ST7L	0.478191476829977
ECHDC2	0.476574938737897
MIOS	0.476384593660391
CAGE1	0.476305745214046
ZMAT4	0.476299875063169
FSCB	0.475775511153672
NDUFAB1	0.4746828296741
TMEM59L	0.474511906824186
ING2	0.474475743795945
PHOSPHO1	0.474350005481224
ACBD5	0.474148619900044
KMT5B	0.473498617323448
ATP6V0A2	0.473498617323448
CDC14C	0.473248279847514
LARP4	0.472355024967445
SLMAP	0.471471132434492
ZNF285	0.470987750874635
C12orf42	0.470735805448421
KLC3	0.470635867941518
ADH5	0.470543648595953
PRICKLE1	0.470399576250976
PSD3	0.470167922704337
TBC1D15	0.469899671303466
FAM151B	0.469698056985697
LEF1	0.46801846912494
SLC52A3	0.467705901708499
CCRL2	0.467607775976558
COL8A2	0.467493308034459
AKAP10	0.466950572726848
GALM	0.46670359156403
DRAXIN	0.466546112084335
NPHP4	0.46593442062167
PLCH1	0.464240411032216
BLID	0.463533202793555
SLC25A29	0.46308975275386
CTNNA1	0.463030761361098
MAPT	0.46278466329784
NRF1	0.462371202803938
CELF5	0.462011529238485
GLDC	0.461293993882541
WBP1L	0.461035381124468
PROK2	0.458655650947402
NEURL1	0.45727036781147
MAPK6	0.457256707028257
CUL3	0.457165719689666
PECAM1	0.457129447954927
