specimenID,Neurons,Astrocytes,Oligodendrocytes,Microglia
BM_10_608,0.359055586,0.238992976,0.199402607,0.06470844
BM_10_609,0.482080633,0.188390902,0.206497424,0.02934955
BM_10_610,0.373874502,0.227367191,0.256565762,0.060321758
BM_10_611,0.437487505,0.206473513,0.231734177,0.040703167
BM_10_615,0.483680741,0.187120832,0.219218407,0.028290656
BM_10_616,0.53266772,0.172524569,0.206579956,0.026450889
BM_10_617,0.456428892,0.210444896,0.218417182,0.035584073
BM_10_619,0.368915951,0.167595149,0.345323482,0.037832034
BM_10_621,0.388687189,0.201223532,0.255696829,0.059517669
BM_10_623,0.508409214,0.17710719,0.201232928,0.032205571
BM_10_624,0.454874823,0.17628327,0.278976319,0.02653938
BM_10_627,0.350372957,0.303422093,0.195686418,0.053405337
BM_10_629,0.41712346,0.176857327,0.311347828,0.031610627
BM_10_630,0.461869616,0.207967057,0.200581246,0.051755781
BM_10_631,0.405644076,0.133010743,0.368977368,0.021700079
BM_10_635,0.548219243,0.190939982,0.159871956,0.030419384
BM_10_638,0.406092405,0.201008964,0.256901789,0.044154041
BM_10_639,0.536316379,0.159200238,0.195972253,0.025817216
BM_10_643,0.491139019,0.212818027,0.179604488,0.03883938
BM_10_644,0.423048304,0.235792552,0.195029959,0.061818504
BM_10_645,0.47608472,0.234409295,0.169903524,0.03734066
BM_10_647,0.216042544,0.352379417,0.20713904,0.081601868
BM_10_648,0.483791256,0.18964826,0.201534317,0.034849762
BM_10_649,0.176396882,0.439947098,0.21425327,0.04407708
BM_10_650,0.349829161,0.273735955,0.228251434,0.048314276
BM_10_651,0.27819476,0.184012929,0.427046249,0.038937343
BM_10_652,0.352113714,0.240626736,0.264979989,0.044316664
BM_10_654,0.51523616,0.206486994,0.155199012,0.030768102
BM_10_656,0.503254076,0.185014719,0.17259838,0.040062666
BM_10_657,0.47661236,0.158361479,0.222661698,0.044190175
BM_10_658,0.346282013,0.303131242,0.201904264,0.048197916
BM_10_660,0.411473395,0.204083734,0.241120689,0.048436358
BM_10_661,0.400427251,0.207789666,0.275389315,0.041592477
BM_10_662,0.278796254,0.16864552,0.401137463,0.035794055
BM_10_663,0.385604572,0.25452917,0.211063809,0.052290372
BM_10_664,0.515159752,0.196931414,0.170481641,0.046838162
BM_10_666,0.493512552,0.176777929,0.191612965,0.05214516
